AnonymousID,AbsorptiveCapacity01_JointVenture,AbsorptiveCapacity02_TeachingHospital,AbsorptiveCapacity,Monitoring,EHR,Number_of_Hospital_Beds_Organizational_size,OperationalPerfromance_NormalizedOperatingMargin
ID138,0,0,0,0,1,41,0.538553444
ID139,0,0,0,1,0,171,0.530617051
ID140,0,0,0,0,0,110,0.496710352
ID141,0,0,0,1,0,75,0.50722277
ID142,0,0,0,1,0,16,0.507473776
ID143,0,0,0,0,1,18,0.595406016
ID144,0,0,0,1,0,106,0.634499153
ID145,0,0,0,0,1,54,0.703348914
ID146,0,0,0,1,1,23,0.474537201
ID147,1,0,0.5,1,1,68,0.624287344
ID148,0,0,0,1,0,22,0.606958035
ID149,1,0,0.5,1,1,33,0.612407897
ID150,0,0,0,1,0,148,0.540031418
ID151,0,0,0,0,0,44,0.336402697
ID152,0,0,0,1,1,58,0.4482965
ID153,0,0,0,1,0,20,0.539988541
ID154,0,0,0,1,1,68,0.552622709
ID155,0,0,0,1,0,49,0.63560457
ID156,0,0,0,0,0,62,0.609474607
ID157,1,0,0.5,1,1,579,0.664214322
ID158,0,0,0,1,0,26,0.610457351
ID159,0,0,0,0,0,41,0.574876861
ID160,0,0,0,1,1,74,0.704830118
ID161,0,0,0,1,1,72,0.604265859
ID162,0,0,0,0,0,60,0.600748481
ID163,0,0,0,0,0,31,0.533053593
ID164,0,0,0,0,0,35,0.519296792
ID165,0,0,0,0,0,43,0.390019393
ID166,0,0,0,1,0,90,0.534941831
ID167,1,0,0.5,1,1,206,0.762453887
ID168,1,0,0.5,1,0,94,0.391751298
ID169,0,0,0,1,1,305,0.632133763
ID170,0,0,0,1,1,49,0.567407293
ID171,0,0,0,1,0,55,0.623988962
ID172,0,0,0,1,1,301,0.553527614
ID173,0,0,0,1,1,23,0.588389119
ID174,0,0,0,0,0,35,0.644977367
ID175,0,0,0,0,0,23,0.549781352
ID176,0,0,0,0,0,35,0.49829966
ID177,0,0,0,1,0,64,0.55180587
ID178,1,0,0.5,1,1,424,0.690128016
ID179,1,0,0.5,1,1,323,0.528629193
ID180,1,0,0.5,1,1,50,0.545818254
ID181,0,0,0,1,1,84,0.554108656
ID182,0,0,0,1,1,16,0.543545312
ID183,0,0,0,1,0,32,0.590835007
ID184,0,0,0,0,0,48,0.494834423
ID185,0,0,0,0,1,60,0.583288587
ID186,0,0,0,1,0,86,0.507229014
ID187,0,0,0,1,0,60,0.562607467
ID188,0,0,0,0,0,62,0.532443497
ID189,0,0,0,1,1,73,0.646514901
ID190,0,0,0,0,1,60,0.540554956
ID191,0,0,0,0,0,60,0.374164633
ID192,1,0,0.5,1,1,259,0.496773768
ID193,0,0,0,0,1,83,0.603471759
ID194,0,0,0,1,0,58,0.623627329
ID195,0,0,0,1,0,412,0.551210799
ID196,0,0,0,1,0,88,0.614007096
ID197,0,0,0,0,0,55,0.56259042
ID198,0,0,0,0,1,83,0.587287895
ID199,0,0,0,0,0,61,0.504757595
ID200,0,0,0,1,1,10,0.636099476
